Shop name,category,remarks,city,district,lat,long,recommended by,Google Maps Link,Google Maps Coord Link
勝基黑糖餅 BIFF廣場店 (승기씨앗호떡),美食 (Food),南浦洞BIFF廣場排隊名店，奶油煎至金黃酥脆的餅皮包入滿滿綜合堅果與黑糖糖漿。,釜山,中區 (Jung-gu),35.0984,129.0305,https://www.instagram.com/reel/DX_38tYxyqK/,"https://www.google.com/maps/search/?api=1&query=%E5%8B%9D%E5%9F%BA%E9%BB%91%E7%B3%96%E9%A4%85%20BIFF%E5%BB%A3%E5%A0%B4%E5%BA%97%20%28%EC%8A%B9%EA%B8%B0%EC%94%A8%EC%95%97%ED%98%B8%EB%96%A1%29%2C%20%E9%87%9C%E5%B1%B1&center=35.0984,129.0305","https://www.google.com/maps/search/?api=1&query=35.0984,129.0305"
草梁小麥冷麵 (초량밀면),美食 (Food),釜山代表性地道美食，冰涼酸辣的牛骨小麥冷麵搭配現蒸巨型手工大包子（餃子）。,釜山,東區 (Dong-gu),35.1151,129.0398,https://www.instagram.com/reel/DZ_r56ayMVI/,"https://www.google.com/maps/search/?api=1&query=%E8%8D%89%E6%A2%81%E5%B0%8F%E9%BA%A5%E5%86%B7%E9%BA%B5%20%28%EC%B4%88%EB%9F%89%EB%B0%80%EB%A9%B4%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1151,129.0398","https://www.google.com/maps/search/?api=1&query=35.1151,129.0398"
國際市場美食街 (국제시장 먹거리),美食 (Food),體驗地道路邊攤座席，必吃辣炒年糕、拌粉條（Bibim Dangmyeon）與熱騰騰釜山魚餅湯。,釜山,中區 (Jung-gu),35.1008,129.0289,https://www.instagram.com/reel/DcIG1Z1TIzb/,"https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E9%9A%9B%E5%B8%82%E5%A0%B4%E7%BE%8E%E9%A3%9F%E8%A1%97%20%28%EA%B5%AD%EC%A0%9C%EC%8B%9C%EC%9E%A5%20%EB%A8%B9%EA%B1%B0%EB%A6%AC%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1008,129.0289","https://www.google.com/maps/search/?api=1&query=35.1008,129.0289"
Club D Oasis 汗蒸幕水上樂園 (클럽디 오아시스),汗蒸幕 (Sauna),位於LCT大樓的頂級無敵海景汗蒸幕，設有無邊際泳池、戶外足浴、露天桑拿與多種主題汗蒸房。,釜山,海雲台區 (Haeundae-gu),35.1601,129.1685,"https://www.instagram.com/reel/DVGZ96hkk9w/
https://www.instagram.com/reel/DZhuTwruM7Y/","https://www.google.com/maps/search/?api=1&query=Club%20D%20Oasis%20%E6%B1%97%E8%92%B8%E5%B9%95%E6%B0%B4%E4%B8%8A%E6%A8%82%E5%9C%92%20%28%ED%81%B4%EB%9F%BD%EB%94%94%20%EC%98%A4%EC%95%84%EC%8B%9C%EC%8A%A4%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1601,129.1685","https://www.google.com/maps/search/?api=1&query=35.1601,129.1685"
Centum City Spa Land 汗蒸幕 (스파랜드 센텀시티),汗蒸幕 (Sauna),新世界百貨內五星級汗蒸幕，引入地下天然溫泉水，擁有22個不同溫度與風格的主題桑拿房與戶外足浴區。,釜山,海雲台區 (Haeundae-gu),35.1689,129.1294,"https://www.instagram.com/reel/DOvn6n1EqDI/
https://www.instagram.com/reel/DRUPKLzk7Zj/","https://www.google.com/maps/search/?api=1&query=Centum%20City%20Spa%20Land%20%E6%B1%97%E8%92%B8%E5%B9%95%20%28%EC%8A%A4%ED%8C%8C%EB%9E%9C%EB%93%9C%20%EC%84%BC%ED%85%80%EC%8B%9C%ED%8B%B0%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1689,129.1294","https://www.google.com/maps/search/?api=1&query=35.1689,129.1294"
Rendezja-Vous 海雲台店 (랑데자뷰 해운대),咖啡廳 (Cafe),濟州島風格網美咖啡廳，木屑鋪地與石牆裝飾，擁有面向海雲台沙灘的大片落地窗打卡點。,釜山,海雲台區 (Haeundae-gu),35.1588,129.1638,https://www.instagram.com/reel/DYGnA0VJY5O/,"https://www.google.com/maps/search/?api=1&query=Rendezja-Vous%20%E6%B5%B7%E9%9B%B2%E5%8F%B0%E5%BA%97%20%28%EB%9E%91%EB%8D%B0%EC%9E%90%EB%B7%B0%20%ED%95%B4%EC%9A%B4%EB%8C%80%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1588,129.1638","https://www.google.com/maps/search/?api=1&query=35.1588,129.1638"
Coralani 懸崖海景咖啡廳 (코랄라니),咖啡廳 (Cafe),機張超級巨型多層海景咖啡廳，戶外梯田式懶人沙發直面蔚藍大海，適合看海放空。,釜山,機張郡 (Gijang-gun),35.1884,129.2225,https://www.instagram.com/reel/DRuS1w1kuEo/,"https://www.google.com/maps/search/?api=1&query=Coralani%20%E6%87%B8%E5%B4%96%E6%B5%B7%E6%99%AF%E5%92%96%E5%95%A1%E5%BB%B3%20%28%EC%BD%94%EB%9E%84%EB%9D%BC%EB%8B%88%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1884,129.2225","https://www.google.com/maps/search/?api=1&query=35.1884,129.2225"
Waveon Coffee 海景咖啡廳 (웨이브온 커피),咖啡廳 (Cafe),獲建築大獎的機張海岸絕美咖啡廳，招牌松子拿鐵與手沖咖啡，全方位無死角海景觀景台。,釜山,機張郡 (Gijang-gun),35.3218,129.2711,https://www.instagram.com/reel/DIqRhflzsA2/,"https://www.google.com/maps/search/?api=1&query=Waveon%20Coffee%20%E6%B5%B7%E6%99%AF%E5%92%96%E5%95%A1%E5%BB%B3%20%28%EC%9B%A8%EC%9D%B4%EB%B8%8C%EC%98%A8%20%EC%BB%A4%ED%94%BC%29%2C%20%E9%87%9C%E5%B1%B1&center=35.3218,129.2711","https://www.google.com/maps/search/?api=1&query=35.3218,129.2711"
Off.O 機張烘焙咖啡廳 (오프오),咖啡廳 (Cafe),寬敞舒適的海岸烘焙咖啡廳，每日現烤可頌與鹽可頌，氣氛悠閒。,釜山,機張郡 (Gijang-gun),35.2152,129.2395,https://www.instagram.com/reel/DaAP2i8zhIG/,"https://www.google.com/maps/search/?api=1&query=Off.O%20%E6%A9%9F%E5%BC%B5%E7%83%98%E7%84%99%E5%92%96%E5%95%A1%E5%BB%B3%20%28%EC%98%A4%ED%94%84%EC%98%A4%29%2C%20%E9%87%9C%E5%B1%B1&center=35.2152,129.2395","https://www.google.com/maps/search/?api=1&query=35.2152,129.2395"
Ops 麵包店 海雲台店 (옵스 해운대점),烘焙店 (Bakery),釜山殿堂級老牌烘焙坊，必買拳頭大的招牌爆漿泡芙包（Choux à la crème）與潘妮托妮。,釜山,海雲台區 (Haeundae-gu),35.162,129.1607,https://www.instagram.com/reel/DVx-felE6-6/,"https://www.google.com/maps/search/?api=1&query=Ops%20%E9%BA%B5%E5%8C%85%E5%BA%97%20%E6%B5%B7%E9%9B%B2%E5%8F%B0%E5%BA%97%20%28%EC%98%B5%EC%8A%A4%20%ED%95%B4%EC%9A%B4%EB%8C%80%EC%A0%90%29%2C%20%E9%87%9C%E5%B1%B1&center=35.162,129.1607","https://www.google.com/maps/search/?api=1&query=35.162,129.1607"
海雲台藍線公園 尾浦站 (해운대블루라인파크 미포정거장),景點 (Attraction),乘坐繽紛復古天空膠囊列車（Sky Capsule）與海岸列車的起點，沿著海岸線欣賞青沙浦美景，需提前網上預約 sunset 時段。,釜山,海雲台區 (Haeundae-gu),35.1598,129.1728,"https://www.instagram.com/reel/DR_Rm_zksLW/
https://www.instagram.com/reel/DK57OaLzN-A/","https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E9%9B%B2%E5%8F%B0%E8%97%8D%E7%B7%9A%E5%85%AC%E5%9C%92%20%E5%B0%BE%E6%B5%A6%E7%AB%99%20%28%ED%95%B4%EC%9A%B4%EB%8C%80%EB%B8%94%EB%A3%A8%EB%9D%BC%EC%9D%B8%ED%8C%8C%ED%81%AC%20%EB%AF%B8%ED%8F%AC%EC%A0%95%EA%B1%B0%EC%9E%A5%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1598,129.1728","https://www.google.com/maps/search/?api=1&query=35.1598,129.1728"
甘川文化村 (감천문화마을),景點 (Attraction),釜山版馬祖/聖托里尼，彩色階梯式山城，必拍小王子與狐狸俯瞰村落景致，設有許多壁畫小巷與文創小店。,釜山,沙下區 (Saha-gu),35.0975,129.0008,https://www.instagram.com/reel/DcaHy0kxSxO/,"https://www.google.com/maps/search/?api=1&query=%E7%94%98%E5%B7%9D%E6%96%87%E5%8C%96%E6%9D%91%20%28%EA%B0%90%EC%B2%9C%EB%AC%B8%ED%99%94%EB%A7%88%EC%9D%84%29%2C%20%E9%87%9C%E5%B1%B1&center=35.0975,129.0008","https://www.google.com/maps/search/?api=1&query=35.0975,129.0008"
海東龍宮寺 (해동용궁사),景點 (Attraction),韓國唯一建於海邊懸崖上的古剎，聽著浪濤聲參拜，日出景致極為壯觀。,釜山,機張郡 (Gijang-gun),35.1883,129.2232,https://www.instagram.com/reel/C9CkrvZvGUe/,"https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E6%9D%B1%E9%BE%8D%E5%AE%AE%E5%AF%BA%20%28%ED%95%B4%EB%8F%99%EC%9A%A9%EA%B6%81%EC%82%AC%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1883,129.2232","https://www.google.com/maps/search/?api=1&query=35.1883,129.2232"
荒嶺山烽火台觀景台 (황령산 봉수대),景點 (Attraction),俯瞰釜山全市360度夜景最佳地點，同時遠眺廣安大橋、西面市區與釜山港璀璨燈火。,釜山,南區 (Nam-gu),35.1572,129.0827,https://www.instagram.com/p/DWRKHdVkmlk/,"https://www.google.com/maps/search/?api=1&query=%E8%8D%92%E5%B6%BA%E5%B1%B1%E7%83%BD%E7%81%AB%E5%8F%B0%E8%A7%80%E6%99%AF%E5%8F%B0%20%28%ED%99%A9%EB%A0%B9%EC%82%B0%20%EB%B4%89%EC%88%98%EB%8C%80%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1572,129.0827","https://www.google.com/maps/search/?api=1&query=35.1572,129.0827"
松島海上纜車 (송도해상케이블카),景點 (Attraction),跨海空中纜車，可選擇底板全透明的水晶車廂，將松島海灣與龍宮雲橋美景盡收眼底。,釜山,西區 (Seo-gu),35.0762,129.0254,https://www.instagram.com/reel/DOVJJuOjyhM/,"https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E5%B3%B6%E6%B5%B7%E4%B8%8A%E7%BA%9C%E8%BB%8A%20%28%EC%86%A1%EB%8F%84%ED%95%B4%EC%83%81%EC%BC%80%EC%9D%B4%EB%B8%94%EC%B9%B4%29%2C%20%E9%87%9C%E5%B1%B1&center=35.0762,129.0254","https://www.google.com/maps/search/?api=1&query=35.0762,129.0254"
五六島天空步道 Skywalk (오륙도 스카이워크),景點 (Attraction),懸空於35公尺海邊懸崖上的 U 型玻璃步道，腳下即是驚濤拍岸，景色極具震撼力。,釜山,南區 (Nam-gu),35.1017,129.1238,https://www.instagram.com/p/DZHlbNwEvYP/,"https://www.google.com/maps/search/?api=1&query=%E4%BA%94%E5%85%AD%E5%B3%B6%E5%A4%A9%E7%A9%BA%E6%AD%A5%E9%81%93%20Skywalk%20%28%EC%98%A4%EB%A5%99%EB%8F%84%20%EC%8A%A4%EC%B9%B4%EC%9D%B4%EC%9B%8C%ED%81%AC%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1017,129.1238","https://www.google.com/maps/search/?api=1&query=35.1017,129.1238"
釜山 X the SKY 觀景台 (부산 엑스더스카이),景點 (Attraction),位於LCT大樓98-100樓，韓國第二高樓觀景台，擁有全球最高的星巴克門市與透明玻璃天空步道。,釜山,海雲台區 (Haeundae-gu),35.16,129.1688,https://www.instagram.com/reel/DXTpup4mmQu/,"https://www.google.com/maps/search/?api=1&query=%E9%87%9C%E5%B1%B1%20X%20the%20SKY%20%E8%A7%80%E6%99%AF%E5%8F%B0%20%28%EB%B6%80%EC%82%B0%20%EC%97%91%EC%8A%A4%EB%8D%94%EC%8A%A4%EC%B9%B4%EC%9D%B4%29%2C%20%E9%87%9C%E5%B1%B1&center=35.16,129.1688","https://www.google.com/maps/search/?api=1&query=35.16,129.1688"
白淺灘文化村 (흰여울문화마을),景點 (Attraction),影島懸崖邊的白色浪漫村落，沿海散步道、海景洞穴打卡點與眾多質感海景咖啡廳集結地。,釜山,影島區 (Yeongdo-gu),35.0786,129.0441,https://www.instagram.com/reel/DIYoj8WzfNJ/,"https://www.google.com/maps/search/?api=1&query=%E7%99%BD%E6%B7%BA%E7%81%98%E6%96%87%E5%8C%96%E6%9D%91%20%28%ED%9D%B0%EC%97%AC%EC%9A%B8%EB%AC%B8%ED%99%94%EB%A7%88%EC%9D%84%29%2C%20%E9%87%9C%E5%B1%B1&center=35.0786,129.0441","https://www.google.com/maps/search/?api=1&query=35.0786,129.0441"
太宗台台宗園 (태종대),景點 (Attraction),釜山經典自然景區，可搭乘丹努比（Danubi）觀光列車遊覽壯麗海岸峭壁、影島燈塔與展望台。,釜山,影島區 (Yeongdo-gu),35.0531,129.0872,https://www.instagram.com/reel/DUiffgykpxz/,"https://www.google.com/maps/search/?api=1&query=%E5%A4%AA%E5%AE%97%E5%8F%B0%E5%8F%B0%E5%AE%97%E5%9C%92%20%28%ED%83%9C%EC%A2%85%EB%8C%80%29%2C%20%E9%87%9C%E5%B1%B1&center=35.0531,129.0872","https://www.google.com/maps/search/?api=1&query=35.0531,129.0872"
三進魚餅 影島本店 (삼진어묵 영도본점),美食 (Food),釜山歷史最悠久的魚餅品牌創始店，烘焙坊形式挑選各式創新魚餅，亦提供手作魚餅體驗活動。,釜山,影島區 (Yeongdo-gu),35.0911,129.0378,https://www.instagram.com/reel/DSANwe6kggI/,"https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E9%80%B2%E9%AD%9A%E9%A4%85%20%E5%BD%B1%E5%B3%B6%E6%9C%AC%E5%BA%97%20%28%EC%82%BC%EC%A7%84%EC%96%B4%EB%AC%B5%20%EC%98%81%EB%8F%84%EB%B3%B8%EC%A0%90%29%2C%20%E9%87%9C%E5%B1%B1&center=35.0911,129.0378","https://www.google.com/maps/search/?api=1&query=35.0911,129.0378"
釜山3天2夜自由行總攻略,攻略 (Guide),重點整理：D1 海雲台/天空膠囊 -> 藍線公園 -> Spa Land -> 廣安大橋夜景；D2 甘川文化村 -> BIFF廣場 -> 札嘎其市場 -> 松島纜車；D3 機張Waveon咖啡 -> 海東龍宮寺 -> 西面商圈購物。,釜山,全區 (General),,,https://www.instagram.com/p/DL93AGrpp5v/,"https://www.google.com/maps/search/?api=1&query=%E9%87%9C%E5%B1%B13%E5%A4%A92%E5%A4%9C%E8%87%AA%E7%94%B1%E8%A1%8C%E7%B8%BD%E6%94%BB%E7%95%A5%2C%20%E9%87%9C%E5%B1%B1&center=nan,nan","https://www.google.com/maps/search/?api=1&query=nan,nan"
釜山 Pass (Visit Busan Pass) 神卡省錢攻略,攻略 (Guide),重點整理：Visit Busan Pass 24/48小時卡免費包含天空膠囊列車、Spa Land、Club D Oasis、松島纜車、X the Sky 等熱門景點，建議集中於24小時內開卡精算效益最大化。,釜山,全區 (General),,,https://www.instagram.com/reel/DMK2kQuSZy8/,"https://www.google.com/maps/search/?api=1&query=%E9%87%9C%E5%B1%B1%20Pass%20%28Visit%20Busan%20Pass%29%20%E7%A5%9E%E5%8D%A1%E7%9C%81%E9%8C%A2%E6%94%BB%E7%95%A5%2C%20%E9%87%9C%E5%B1%B1&center=nan,nan","https://www.google.com/maps/search/?api=1&query=nan,nan"
釜山無敵海景飯店與住宿挑選指南,攻略 (Guide),重點整理：三大住宿熱點分析：1. 廣安里（看無人機秀與大橋夜景）、2. 海雲台（高級渡假飯店與沙灘散步）、3. 西面（地鐵交會點，購物與美食最便利）。,釜山,全區 (General),,,https://www.instagram.com/reel/DMQAGv1zwyg/,"https://www.google.com/maps/search/?api=1&query=%E9%87%9C%E5%B1%B1%E7%84%A1%E6%95%B5%E6%B5%B7%E6%99%AF%E9%A3%AF%E5%BA%97%E8%88%87%E4%BD%8F%E5%AE%BF%E6%8C%91%E9%81%B8%E6%8C%87%E5%8D%97%2C%20%E9%87%9C%E5%B1%B1&center=nan,nan","https://www.google.com/maps/search/?api=1&query=nan,nan"
釜山十大必吃地道美食美食地圖,攻略 (Guide),重點整理：必吃清單包含：1. 豬肉湯飯、2. 黑糖堅果餅、3. 小麥冷麵、4. 烤海鰻/烤貝、5. 李在摩披薩、6. 釜山魚餅、7. 盲鰻、8. 韓牛排骨、9. 生魚片、10. 炸雞。,釜山,全區 (General),,,https://www.instagram.com/reel/DOpRz2tD9dp/,"https://www.google.com/maps/search/?api=1&query=%E9%87%9C%E5%B1%B1%E5%8D%81%E5%A4%A7%E5%BF%85%E5%90%83%E5%9C%B0%E9%81%93%E7%BE%8E%E9%A3%9F%E7%BE%8E%E9%A3%9F%E5%9C%B0%E5%9C%96%2C%20%E9%87%9C%E5%B1%B1&center=nan,nan","https://www.google.com/maps/search/?api=1&query=nan,nan"
廣安里海上無人機秀 (Drone Show) 觀賞攻略,攻略 (Guide),重點整理：每週六晚上舉行兩場主題無人機表演。最佳觀賞位置為廣安里海水浴場中央沙灘，或提前預約海景第一排咖啡廳戶外座。,釜山,水營區 (Suyeong-gu),,,https://www.instagram.com/reel/DadBpFATDtG/,"https://www.google.com/maps/search/?api=1&query=%E5%BB%A3%E5%AE%89%E9%87%8C%E6%B5%B7%E4%B8%8A%E7%84%A1%E4%BA%BA%E6%A9%9F%E7%A7%80%20%28Drone%20Show%29%20%E8%A7%80%E8%B3%9E%E6%94%BB%E7%95%A5%2C%20%E9%87%9C%E5%B1%B1&center=nan,nan","https://www.google.com/maps/search/?api=1&query=nan,nan"
釜山交通與實用App懶人包,攻略 (Guide),重點整理：韓國不適用 Google Maps 步行導航，務必下載 Naver Map 或 KakaoMap；搭計程車推薦 Kakao T；地鐵與公車使用 T-Money 或 Cashbee 交通卡即可。,釜山,全區 (General),,,"https://www.instagram.com/reel/C999DOIS5Fv/
https://www.instagram.com/reel/Dbc6fmJzVNt/
https://www.instagram.com/reel/DU7-WExCbM7/","https://www.google.com/maps/search/?api=1&query=%E9%87%9C%E5%B1%B1%E4%BA%A4%E9%80%9A%E8%88%87%E5%AF%A6%E7%94%A8App%E6%87%B6%E4%BA%BA%E5%8C%85%2C%20%E9%87%9C%E5%B1%B1&center=nan,nan","https://www.google.com/maps/search/?api=1&query=nan,nan"
하선집 (Ha Seon Jip 燒肉),美食 (Food),獲得韓國藍絲帶認證（韓版米其林）的高級炭火燒肉，全程店員桌邊代烤，小菜超過十種，提供水冷麵、雜菜與生牛肉塔。,釜山,海雲台區 (Haeundae-gu),35.1685,129.1721,https://www.instagram.com/p/DX_oaLmhbo-/,"https://www.google.com/maps/search/?api=1&query=%ED%95%98%EC%84%A0%EC%A7%91%20%28Ha%20Seon%20Jip%20%E7%87%92%E8%82%89%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1685,129.1721","https://www.google.com/maps/search/?api=1&query=35.1685,129.1721"
Club D Oasis (클럽디 오아시스),景點/體驗 (Spot/Activity),海雲台無敵海景渡假村級汗蒸幕與露天足湯，擁有5大主題汗蒸房，可搭配 Visit Busan Pass 免費兌換4小時體驗。,釜山,海雲台區 (Haeundae-gu),35.1601,129.1678,https://www.instagram.com/p/DZr9jNNzVFx/,"https://www.google.com/maps/search/?api=1&query=Club%20D%20Oasis%20%28%ED%81%B4%EB%9F%BD%EB%94%94%20%EC%98%A4%EC%95%84%EC%8B%9C%EC%8A%A4%29%2C%20%E9%87%9C%E5%B1%B1&center=35.1601,129.1678","https://www.google.com/maps/search/?api=1&query=35.1601,129.1678"
